"#","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","3","NCV8401BDTRKGOSCT-ND","NCV8401BDTRKG","IC DRIVER LOW SIDE DPAK","Q1","0","1.36000","4.08"
"2","10","311-150CRCT-ND","RC0805FR-07150RL","RES SMD 150 OHM 1% 1/8W 0805","R5,R7","0","0.04300","0.43"
"3","10","296-48912-1-ND","INA199C3DCKR","IC OP AMP CURR SENSE SC70-6","U1","0","0.80200","8.02"
"4","10","CST0612-FC-R00075ECT-ND","CST0612-FC-R00075E","RES SMD 750 UOHM 1% 1W 0612","Rshunt","0","0.66700","6.67"
"5","10","P10.7KDACT-ND","ERA-6AEB1072V","RES SMD 10.7K OHM 0.1% 1/8W 0805","R2,R4","0","0.30200","3.02"
"6","10","P20745CT-ND","ERJ-PB6B2212V","RES SMD 22.1K OHM 0.1% 1/4W 0805","R1,R3","0","0.30600","3.06"
"7","3","VB30100S-E3/8WGICT-ND","VB30100S-E3/8W","DIODE SCHOTTKY 100V 30A TO263AB","D1","0","1.87000","5.61"
"8","3","PIC16F1829LIN-E/SS-ND","PIC16F1829LIN-E/SS","IC MCU 8BIT 14KB FLASH 20SSOP","U2","0","2.73000","8.19"
"9","10","1276-6780-1-ND","CL21A226MOCLRNC","CAP CER 22UF 16V X5R 0805","C2","0","0.26100","2.61"
"10","10","SMF15A-E3-08CT-ND","SMF15A-E3-08","TVS DIODE 15V 24.4V SMF","D3","0","0.37600","3.76"
"11","10","1N4148W-FDICT-ND","1N4148W-7-F","DIODE GEN PURP 100V 300MA SOD123","D4","0","0.16600","1.66"
"12","10","311-47ARCT-ND","RC0805JR-0747RL","RES SMD 47 OHM 5% 1/8W 0805","R6","0","0.03700","0.37"
"13","10","478-9265-1-ND","TPSR106K006R1000","CAP TANT 10UF 10% 6.3V 0805","C3","0","0.56100","5.61"
"14","10","160-1414-1-ND","LTST-C170KGKT","LED GREEN CLEAR SMD","D5","0","0.28700","2.87"
"15","10","311-10.0KCRCT-ND","RC0805FR-0710KL","RES SMD 10K OHM 1% 1/8W 0805","R8,R9","0","0.04300","0.43"
"16","10","MMBZ27VCLT1GOSCT-ND","MMBZ27VCLT1G","TVS DIODE 22V 38V SOT23-3","D2","0","0.17400","1.74"